Observation,Data_Marking,Value_Domain,Observation_Type,Observation_Type_Value,Unit_Of_Measure,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2
36929,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,UK manufacturer sales LABEL
2229725,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,All other income
2266654,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Total UK manufacturer sales of products in this product group
3404,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Merchanted goods
4333,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Work done
766,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Waste Products
96526,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Non production income
-1917072,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Net carry in/carry out
454610,,,,,,K02000001,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Total turnover of businesses classified to this industry
19617,,,,,,K02000001,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
0,,,,,,K02000001,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,Waste Products
133127,,,,,,K02000001,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,Net carry in/carry out
17312,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
3176,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Work done
0,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Waste Products
2071,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Non production income
-22730,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Net carry in/carry out
20895,,,,,,K02000001,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Total turnover of businesses classified to this industry
62831139,,,,,,K02000001,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
5014859,,,,,,K02000001,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,All other income
67845998,,,,,,K02000001,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Total UK manufacturer sales of products in this product group
