Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3
100.0,,,time,Year,1997,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,1998,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,1999,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2000,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2001,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2002,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2003,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2004,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2005,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2006,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2007,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2008,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2009,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2010,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2011,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2012,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2013,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
100.0,,,time,Year,2014,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021745
776807.0,,,time,Year,1997,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
816694.0,,,time,Year,1998,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
846503.0,,,time,Year,1999,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
893485.0,,,time,Year,2000,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
932713.0,,,time,Year,2001,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
983042.0,,,time,Year,2002,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1045971.0,,,time,Year,2003,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1102561.0,,,time,Year,2004,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1168850.0,,,time,Year,2005,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1233491.0,,,time,Year,2006,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1303492.0,,,time,Year,2007,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1338014.0,,,time,Year,2008,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1325059.0,,,time,Year,2009,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1370816.0,,,time,Year,2010,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1413559.0,,,time,Year,2011,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1460697.0,,,time,Year,2012,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1522492.0,,,time,Year,2013,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
1590113.0,,,time,Year,2014,2015EUROSTATH,Geography,K02000001,CL_0000908,Component,CI_0021743
